"admin0_name","admin1_name","admin2_name","iso3","gaul0_code","gaul1_code","gaul2_code","weather-station_density","cv-precipitation_agreement","seasonal_frcst_skill","short-term_frcst_skill","cloud-coverage_meanannual","cis_readiness_index"
"Eritrea","Semienawi Keih Bahri","Ghinda","ERI",122,1284,102979,0.5128896236419678,"0.006573924329131842",0.21921463310718536,0.19167515635490417,0.5565062165260315,0.23258830606937408
"Eritrea","Semienawi Keih Bahri","Karura","ERI",122,1284,102980,0.5275120139122009,"0.00430768309161067",0.25841614603996277,0.10854338854551315,0.781039834022522,0.2231534868478775
"Eritrea","Semienawi Keih Bahri","Massawa","ERI",122,1284,102981,0.5164228081703186,"0.0",0.19847439229488373,0.2031770795583725,0.7530208826065063,0.22484634816646576
"Eritrea","Semienawi Keih Bahri",\N,"ERI",122,1284,\N,0.5198255181312561,"0.0655754953622818",0.20868977904319763,0.19576744735240936,0.7332800626754761,0.24503298103809357
"Eritrea","Semienawi Keih Bahri","Nakfa","ERI",122,1284,102982,0.5187456011772156,"0.20992742478847504",0.22192396223545074,0.10499805957078934,0.7603079676628113,0.2638987898826599
"Eritrea","Semienawi Keih Bahri","Shieb","ERI",122,1284,102983,0.5155759453773499,"0.0",0.214962437748909,0.1436147838830948,0.6993387341499329,0.21714498102664948
"Eswatini","Hhohho","Hhukwini","SWZ",123,1285,102984,0.7660310864448547,"0.0",0.2969265878200531,0.6269257068634033,0.5150372385978699,0.4224708080291748
"Eswatini","Hhohho","Lobamba","SWZ",123,1285,102985,0.7682501077651978,"0.0",0.2981410026550293,0.6217392683029175,0.5307007431983948,0.42203259468078613
"Eswatini","Hhohho","Madlangempisi","SWZ",123,1285,102986,0.7547194957733154,"0.011100593954324722",0.30038681626319885,0.6599162817001343,0.581142783164978,0.43153077363967896
"Eswatini","Hhohho","Maphalaleni","SWZ",123,1285,102987,0.7621546387672424,"0.0",0.29663047194480896,0.6370844841003418,0.5382730960845947,0.4239673912525177
"Eswatini","Hhohho","Mayiwane","SWZ",123,1285,102988,0.755017876625061,"0.0",0.3154066503047943,0.6447494029998779,0.589222252368927,0.4287934899330139
"Eswatini","Hhohho","Mbabane East","SWZ",123,1285,102989,0.7680790424346924,"0.0",0.2954522967338562,0.6158753037452698,0.4964631199836731,0.4198516309261322
"Eswatini","Hhohho","Mbabane West","SWZ",123,1285,102990,0.7694495320320129,"0.0",0.2960451543331146,0.6122405529022217,0.5010742545127869,0.4194338023662567
"Eswatini","Hhohho","Mhlangatane","SWZ",123,1285,102991,0.7517755031585693,"0.06763268262147903",0.3142242729663849,0.6577552556991577,0.5902540683746338,0.4478469491004944
"Eswatini","Hhohho","Motshane","SWZ",123,1285,102992,0.7709664106369019,"0.05639359727501869",0.29442742466926575,0.6032654643058777,0.502010703086853,0.4312632083892822
